2020-08-30 23:00:51.470958|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-08-30 23:00:51.471095|INFO    |ServerLibPriv |   |SystemInformation: Linux 3.10.0-1127.19.1.el7.x86_64 #1 SMP Tue Aug 25 17:23:54 UTC 2020 x86_64 Binary: 64bit
2020-08-30 23:00:51.471140|INFO    |ServerLibPriv |   |Using hardware aes
2020-08-30 23:00:51.476831|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2020-08-30 23:00:51.476914|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2020-08-30 23:00:51.477136|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2020-08-30 23:00:51.536772|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-08-30 23:00:51.545843|INFO    |Accounting    |   |Licensing Information
2020-08-30 23:00:51.545887|INFO    |Accounting    |   |licensed to       : Anonymous
2020-08-30 23:00:51.545914|INFO    |Accounting    |   |type              : No License
2020-08-30 23:00:51.545948|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-08-30 23:00:51.545981|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-08-30 23:00:51.546011|INFO    |Accounting    |   |max virtualservers: 1
2020-08-30 23:00:51.546041|INFO    |Accounting    |   |max slots         : 32
2020-08-30 23:00:52.709295|INFO    |              |   |Puzzle precompute time: 1124
2020-08-30 23:00:52.709622|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-08-30 23:00:52.793190|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-08-30 23:00:52.793312|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-08-30 23:10:23.680391|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
