2020-08-30 23:10:24.339590|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-08-30 23:10:24.339675|INFO    |ServerLibPriv |   |SystemInformation: Linux 3.10.0-1127.19.1.el7.x86_64 #1 SMP Tue Aug 25 17:23:54 UTC 2020 x86_64 Binary: 64bit
2020-08-30 23:10:24.339696|INFO    |ServerLibPriv |   |Using hardware aes
2020-08-30 23:10:24.339889|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2020-08-30 23:10:24.339912|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2020-08-30 23:10:24.340090|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2020-08-30 23:10:24.392882|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-08-30 23:10:24.421110|INFO    |Accounting    |   |Licensing Information
2020-08-30 23:10:24.421160|INFO    |Accounting    |   |licensed to       : Anonymous
2020-08-30 23:10:24.421189|INFO    |Accounting    |   |type              : No License
2020-08-30 23:10:24.421207|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-08-30 23:10:24.421220|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-08-30 23:10:24.421231|INFO    |Accounting    |   |max virtualservers: 1
2020-08-30 23:10:24.421242|INFO    |Accounting    |   |max slots         : 32
2020-08-30 23:10:25.438975|INFO    |              |   |Puzzle precompute time: 991
2020-08-30 23:10:25.439303|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-08-30 23:10:25.510055|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-08-30 23:10:25.510125|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-08-31 22:57:19.769035|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-09-01 00:01:24.385471|INFO    |VirtualSvrMgr |   |executing monthly interval
2020-09-01 00:01:24.385664|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2020-09-01 20:56:48.522050|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
