2020-09-01 20:57:41.460937|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-09-01 20:57:41.461025|INFO    |ServerLibPriv |   |SystemInformation: Linux 3.10.0-1127.19.1.el7.x86_64 #1 SMP Tue Aug 25 17:23:54 UTC 2020 x86_64 Binary: 64bit
2020-09-01 20:57:41.461057|INFO    |ServerLibPriv |   |Using hardware aes
2020-09-01 20:57:41.461250|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2020-09-01 20:57:41.461275|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2020-09-01 20:57:41.463328|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2020-09-01 20:57:41.513153|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-09-01 20:57:41.538846|INFO    |Accounting    |   |Licensing Information
2020-09-01 20:57:41.538899|INFO    |Accounting    |   |licensed to       : Anonymous
2020-09-01 20:57:41.538927|INFO    |Accounting    |   |type              : No License
2020-09-01 20:57:41.538951|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-09-01 20:57:41.538969|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-09-01 20:57:41.538985|INFO    |Accounting    |   |max virtualservers: 1
2020-09-01 20:57:41.539002|INFO    |Accounting    |   |max slots         : 32
2020-09-01 20:57:42.451702|INFO    |              |   |Puzzle precompute time: 873
2020-09-01 20:57:42.452018|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-09-01 20:57:42.527616|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-09-01 20:57:42.527699|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-09-01 20:58:54.526806|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
